Date,Product Id,Quantity,Profit
01-06-2018,KL2,57,-8
01-06-2018,KL1,223,457
01-06-2018,KL4,197,284
01-06-2018,KL3,57,159
01-06-2018,KL5,68,138
01-06-2018,KL4,295,-80
01-06-2018,KL1,25,77
01-06-2018,KL4,151,163
01-06-2018,KL2,159,-63
01-06-2018,KL3,179,151
01-06-2018,KL3,68,138
02-06-2018,KL1,75,-29
02-06-2018,KL5,261,178
02-06-2018,KL5,133,353
02-06-2018,KL3,273,257
02-06-2018,KL1,123,-23
02-06-2018,KL3,160,477
02-06-2018,KL2,40,367
03-06-2018,KL3,174,361
03-06-2018,KL2,154,-21
03-06-2018,KL4,86,473
03-06-2018,KL1,192,52
03-06-2018,KL4,42,82
03-06-2018,KL4,10,384
03-06-2018,KL4,285,127
03-06-2018,KL3,283,453
03-06-2018,KL4,226,46
03-06-2018,KL5,292,58
03-06-2018,KL2,55,313
03-06-2018,KL2,275,373
03-06-2018,KL2,263,133
04-06-2018,KL5,104,182
04-06-2018,KL3,69,316
04-06-2018,KL4,110,34
04-06-2018,KL5,96,157
04-06-2018,KL4,23,357
04-06-2018,KL1,187,41
04-06-2018,KL5,228,467
04-06-2018,KL1,53,-68
04-06-2018,KL4,235,51
05-06-2018,KL2,87,359
05-06-2018,KL2,160,37
05-06-2018,KL4,26,48
05-06-2018,KL3,196,370
05-06-2018,KL5,27,-98
05-06-2018,KL3,48,-35
05-06-2018,KL5,249,335
05-06-2018,KL2,213,121
06-06-2018,KL3,50,125
06-06-2018,KL4,294,106
06-06-2018,KL4,180,126
06-06-2018,KL4,246,489
06-06-2018,KL3,291,284
06-06-2018,KL1,284,435
06-06-2018,KL5,114,34
06-06-2018,KL4,20,59
06-06-2018,KL1,261,48
06-06-2018,KL2,154,311
06-06-2018,KL4,294,487
06-06-2018,KL5,220,15
06-06-2018,KL4,87,-98
06-06-2018,KL1,16,300
06-06-2018,KL2,229,61
07-06-2018,KL5,262,-32
07-06-2018,KL1,41,-57
07-06-2018,KL5,80,492
07-06-2018,KL3,208,370
07-06-2018,KL2,245,29
07-06-2018,KL5,266,280
07-06-2018,KL4,204,-10
07-06-2018,KL5,119,338
07-06-2018,KL1,180,316
07-06-2018,KL4,229,218
07-06-2018,KL4,11,336
07-06-2018,KL1,51,345
07-06-2018,KL2,153,404
08-06-2018,KL4,42,374
08-06-2018,KL2,54,390
08-06-2018,KL4,122,320
08-06-2018,KL4,99,336
08-06-2018,KL4,69,361
08-06-2018,KL3,193,252
08-06-2018,KL4,146,31
08-06-2018,KL3,148,147
08-06-2018,KL4,203,270
08-06-2018,KL3,136,498
08-06-2018,KL3,177,221
09-06-2018,KL1,285,20
09-06-2018,KL5,285,459
09-06-2018,KL5,70,42
09-06-2018,KL4,213,279
09-06-2018,KL2,269,176
09-06-2018,KL4,107,-59
10-06-2018,KL2,134,406
10-06-2018,KL4,283,340
10-06-2018,KL4,102,41
10-06-2018,KL2,109,37
10-06-2018,KL3,242,243
10-06-2018,KL1,146,166
10-06-2018,KL2,160,-71
10-06-2018,KL3,140,168
10-06-2018,KL3,274,340
10-06-2018,KL5,154,419
10-06-2018,KL3,74,437
10-06-2018,KL1,251,16
10-06-2018,KL4,252,99
10-06-2018,KL3,92,385
10-06-2018,KL1,79,482
10-06-2018,KL2,256,254
10-06-2018,KL1,122,262
10-06-2018,KL4,128,368
10-06-2018,KL2,196,379
11-06-2018,KL2,16,346
11-06-2018,KL2,220,285
11-06-2018,KL5,29,111
11-06-2018,KL2,143,-92
11-06-2018,KL4,269,63
11-06-2018,KL5,58,498
11-06-2018,KL1,247,372
12-06-2018,KL4,203,293
12-06-2018,KL1,144,168
12-06-2018,KL2,66,221
12-06-2018,KL4,246,50
12-06-2018,KL5,110,460
12-06-2018,KL2,157,222
12-06-2018,KL4,262,174
13-06-2018,KL3,65,434
13-06-2018,KL3,11,406
13-06-2018,KL3,17,386
13-06-2018,KL1,101,346
13-06-2018,KL2,158,437
13-06-2018,KL1,96,473
13-06-2018,KL3,260,423
13-06-2018,KL4,187,-15
13-06-2018,KL2,209,74
13-06-2018,KL5,284,-75
14-06-2018,KL4,215,54
14-06-2018,KL4,279,352
14-06-2018,KL3,175,249
14-06-2018,KL1,172,-59
14-06-2018,KL3,296,242
14-06-2018,KL5,60,89
14-06-2018,KL5,162,401
14-06-2018,KL2,40,-14
14-06-2018,KL3,228,338
14-06-2018,KL4,61,-29
14-06-2018,KL2,208,-4
15-06-2018,KL2,50,368
15-06-2018,KL1,241,317
15-06-2018,KL3,300,151
15-06-2018,KL3,51,202
15-06-2018,KL1,83,489
15-06-2018,KL1,156,205
15-06-2018,KL5,126,295
15-06-2018,KL2,267,87
15-06-2018,KL4,130,460
15-06-2018,KL5,240,255
15-06-2018,KL1,30,297
15-06-2018,KL1,146,-13
15-06-2018,KL5,263,83
15-06-2018,KL2,12,400
15-06-2018,KL2,41,493
16-06-2018,KL3,18,472
16-06-2018,KL4,206,85
16-06-2018,KL4,165,-13
16-06-2018,KL2,215,53
16-06-2018,KL3,158,198
16-06-2018,KL1,269,386
16-06-2018,KL4,116,224
16-06-2018,KL2,129,-34
16-06-2018,KL4,63,498
16-06-2018,KL2,136,431
16-06-2018,KL3,15,-57
17-06-2018,KL5,11,66
17-06-2018,KL4,227,267
17-06-2018,KL3,25,55
17-06-2018,KL2,233,18
17-06-2018,KL2,282,265
17-06-2018,KL2,106,153
17-06-2018,KL5,261,329
17-06-2018,KL5,68,246
17-06-2018,KL1,153,392
17-06-2018,KL4,28,13
17-06-2018,KL2,238,54
17-06-2018,KL2,147,267
17-06-2018,KL3,99,437
18-06-2018,KL2,298,367
18-06-2018,KL2,69,-51
18-06-2018,KL2,93,421
18-06-2018,KL1,76,35
18-06-2018,KL4,44,377
18-06-2018,KL5,165,278
18-06-2018,KL3,135,-33
18-06-2018,KL1,87,-29
18-06-2018,KL2,93,146
18-06-2018,KL2,21,-58
19-06-2018,KL1,70,339
19-06-2018,KL1,271,64
19-06-2018,KL2,228,162
19-06-2018,KL4,206,-16
19-06-2018,KL3,241,246
19-06-2018,KL2,157,155
19-06-2018,KL4,137,277
20-06-2018,KL5,222,42
20-06-2018,KL5,28,119
20-06-2018,KL4,298,145
20-06-2018,KL2,279,302
20-06-2018,KL3,102,-81
20-06-2018,KL4,83,-2
20-06-2018,KL1,86,-51
21-06-2018,KL4,49,356
21-06-2018,KL3,38,-50
21-06-2018,KL1,42,173
21-06-2018,KL1,119,-18
21-06-2018,KL1,106,-97
21-06-2018,KL3,159,179
21-06-2018,KL4,57,362
21-06-2018,KL5,210,409
21-06-2018,KL2,202,105
21-06-2018,KL3,268,214
21-06-2018,KL1,228,335
21-06-2018,KL3,205,157
21-06-2018,KL3,122,70
22-06-2018,KL3,170,196
22-06-2018,KL5,185,73
22-06-2018,KL3,135,12
22-06-2018,KL1,45,31
22-06-2018,KL5,223,318
22-06-2018,KL1,55,-5
22-06-2018,KL5,45,269
22-06-2018,KL3,153,-84
22-06-2018,KL3,290,241
22-06-2018,KL5,263,492
22-06-2018,KL3,39,-66
22-06-2018,KL1,105,30
22-06-2018,KL3,295,213
22-06-2018,KL5,99,-69
23-06-2018,KL3,32,336
23-06-2018,KL1,96,227
23-06-2018,KL3,39,-57
23-06-2018,KL4,103,430
23-06-2018,KL3,135,468
23-06-2018,KL2,58,-15
23-06-2018,KL2,202,230
23-06-2018,KL2,127,26
23-06-2018,KL2,229,55
23-06-2018,KL2,249,93
23-06-2018,KL3,101,363
24-06-2018,KL1,15,493
24-06-2018,KL1,26,380
24-06-2018,KL5,45,135
24-06-2018,KL3,115,340
24-06-2018,KL2,109,326
24-06-2018,KL3,282,-23
24-06-2018,KL1,18,260
24-06-2018,KL3,38,464
24-06-2018,KL3,213,403
24-06-2018,KL3,103,374
24-06-2018,KL4,34,164
24-06-2018,KL5,284,466
24-06-2018,KL2,65,96
24-06-2018,KL4,23,351
25-06-2018,KL5,19,59
25-06-2018,KL5,43,58
25-06-2018,KL1,132,329
25-06-2018,KL1,92,-26
25-06-2018,KL3,186,390
25-06-2018,KL1,130,235
25-06-2018,KL4,228,353
25-06-2018,KL2,181,173
25-06-2018,KL1,70,-91
25-06-2018,KL5,291,-69
25-06-2018,KL3,150,399
25-06-2018,KL5,266,407
25-06-2018,KL2,100,-95
25-06-2018,KL1,68,-41
25-06-2018,KL5,170,60
25-06-2018,KL2,187,142
25-06-2018,KL3,140,387
25-06-2018,KL5,256,320
26-06-2018,KL5,270,-82
26-06-2018,KL5,163,141
26-06-2018,KL2,31,54
26-06-2018,KL2,150,60
26-06-2018,KL2,23,496
26-06-2018,KL3,118,437
26-06-2018,KL3,122,129
26-06-2018,KL1,108,333
26-06-2018,KL2,130,134
26-06-2018,KL4,180,94
26-06-2018,KL4,187,407
27-06-2018,KL2,183,245
27-06-2018,KL1,177,214
27-06-2018,KL3,50,12
27-06-2018,KL1,162,44
27-06-2018,KL4,142,-41
27-06-2018,KL1,181,126
27-06-2018,KL5,136,73
27-06-2018,KL1,205,203
28-06-2018,KL4,89,-6
28-06-2018,KL2,282,229
28-06-2018,KL4,258,376
28-06-2018,KL4,276,352
28-06-2018,KL1,274,-16
28-06-2018,KL1,37,292
28-06-2018,KL3,87,61
28-06-2018,KL5,117,42
28-06-2018,KL5,282,-27
29-06-2018,KL2,75,407
29-06-2018,KL2,38,58
29-06-2018,KL2,286,-9
29-06-2018,KL2,287,115
29-06-2018,KL4,192,20
29-06-2018,KL1,65,1
29-06-2018,KL2,28,339
30-06-2018,KL3,84,443
30-06-2018,KL5,100,-83
30-06-2018,KL2,21,494
30-06-2018,KL2,119,25
30-06-2018,KL2,103,242
30-06-2018,KL2,237,289
30-06-2018,KL3,54,7
30-06-2018,KL1,107,365
30-06-2018,KL1,72,-95
